
2024/01/18 (08:04:53) | ===> btop++ v.1.2.13
2024/01/18 (08:04:53) | ERROR: Invalid RGB decimal value: "rgba(16,27,36,0.6)"

2024/02/26 (20:18:47) | ===> btop++ v.1.3.0
2024/02/26 (20:18:48) | ERROR: Stall in Runner thread, restarting!
2024/02/26 (20:19:04) | ERROR: Stall in Runner thread, restarting!
2024/02/26 (20:19:25) | ERROR: Stall in Runner thread, restarting!
2024/02/26 (20:19:43) | ERROR: Stall in Runner thread, restarting!
2024/02/26 (20:19:57) | ERROR: Stall in Runner thread, restarting!

2024/03/13 (15:20:16) | ===> btop++ v.1.3.2
2024/03/13 (15:20:16) | ERROR: Stall in Runner thread, restarting!
2024/03/13 (15:20:21) | ERROR: Stall in Runner thread, restarting!
2024/03/13 (15:20:27) | ERROR: Stall in Runner thread, restarting!

2024/07/22 (21:57:08) | ===> btop++ v.1.3.2
2024/07/22 (21:57:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!

2024/09/22 (20:24:07) | ===> btop++ v.1.3.2
2024/09/22 (20:24:07) | ERROR: Stall in Runner thread, restarting!
2024/09/22 (20:24:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/22 (20:24:51) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/09/22 (20:25:09) | ===> btop++ v.1.3.2
2024/09/22 (20:25:09) | ERROR: Stall in Runner thread, restarting!

2024/09/22 (20:25:46) | ===> btop++ v.1.3.2
2024/09/22 (20:25:46) | ERROR: Stall in Runner thread, restarting!

2024/12/05 (11:02:20) | ===> btop++ v.1.4.0
2024/12/05 (11:02:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/12/05 (11:02:20) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/12/05 (11:02:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/12/05 (11:02:21) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/12/05 (11:02:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/12/05 (11:02:21) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/12/05 (11:02:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/12/05 (11:02:21) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/12/05 (11:02:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/12/05 (11:02:21) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/12/05 (11:02:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/12/05 (11:02:21) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/12/05 (11:02:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/12/05 (11:02:21) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/12/05 (11:02:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/12/05 (11:02:21) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/12/05 (11:02:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
